date,price
11/8/10,3.141
11/1/10,3.145
10/25/10,3.143
10/18/10,3.147
10/11/10,3.089
10/4/10,3.013
9/27/10,2.996
9/20/10,3.005
9/13/10,3.026
9/6/10,3.041
8/30/10,3.092
8/23/10,3.14
8/16/10,3.165
8/9/10,3.172
8/2/10,3.129
7/26/10,3.134
7/19/10,3.13
7/12/10,3.113
7/5/10,3.117
6/28/10,3.126
6/21/10,3.1
6/14/10,3.053
6/7/10,3.068
5/31/10,3.024
5/24/10,3.049
5/17/10,3.118
5/10/10,3.139
5/3/10,3.118
4/26/10,3.088
4/19/10,3.09
4/12/10,3.096
4/5/10,3.088
3/29/10,3.087
3/22/10,3.091
3/15/10,3.061
3/8/10,3.046
3/1/10,2.999
2/22/10,2.918
2/15/10,2.926
2/8/10,2.961
2/1/10,2.975
1/25/10,3.008
1/18/10,3.026
1/11/10,3.046
1/4/10,2.987
12/28/09,2.933
12/21/09,2.912
12/14/09,2.903
12/7/09,2.912
11/30/09,2.921
11/23/09,2.94
11/16/09,2.961
11/9/09,2.981
11/2/09,2.987
10/26/09,2.985
10/19/09,2.988
10/12/09,3.015
10/5/09,3.069
9/28/09,3.098
9/21/09,3.14
9/14/09,3.153
9/7/09,3.099
8/31/09,3.037
8/24/09,3.031
8/17/09,3.047
8/10/09,3.04
8/3/09,2.896
7/27/09,2.829
7/20/09,2.829
7/13/09,2.88
7/6/09,2.952
6/29/09,2.984
6/22/09,3.005
6/15/09,2.979
6/8/09,2.891
6/1/09,2.756
5/25/09,2.637
5/18/09,2.524
5/11/09,2.424
5/4/09,2.355
4/27/09,2.34
4/20/09,2.34
4/13/09,2.336
4/6/09,2.308
3/30/09,2.248
3/23/09,2.154
3/16/09,2.162
3/9/09,2.196
3/2/09,2.189
2/23/09,2.261
2/16/09,2.291
2/9/09,2.215
2/2/09,2.113
1/26/09,2.095
1/19/09,2.064
1/12/09,1.988
1/5/09,1.874
12/29/08,1.81
12/22/08,1.806
12/15/08,1.738
12/8/08,1.805
12/1/08,1.955
11/24/08,2.112
11/17/08,2.374
11/10/08,2.555
11/3/08,2.783
10/27/08,3.13
10/20/08,3.355
10/13/08,3.47
10/6/08,3.601
